feature,importance
purchase_lead,0.1715095068222229
route,0.15788622595488824
booking_origin,0.1510676395839177
flight_hour,0.12655909493890413
length_of_stay,0.1265462797680953
flight_day,0.0815315477269733
flight_duration,0.07414864134385031
num_passengers,0.042914858169948465
wants_in_flight_meals,0.019529145196936822
wants_extra_baggage,0.016603872505935174
wants_preferred_seat,0.01593293842848742
sales_channel,0.013260838600655526
trip_type,0.0025094109591845912
